keyname,code,image
CMO,N,./images/CMO-0.gif
CMO,F,./images/CMO-1.gif
CMO,R,./images/CMO-2.gif
LMO,N,./images/LMO-0.gif
LMO,F,./images/LMO-1.gif
LMO,R,./images/LMO-2.gif
RMO,N,./images/RMO-0.gif
RMO,F,./images/RMO-1.gif
RMO,R,./images/RMO-2.gif
FCLR,1,./images/FIR-1.gif
FCLR,2,./images/FIR-2.gif
FCLR,N,./images/FIR-0.gif
LCLR,1,./images/LIR-1.gif
LCLR,2,./images/LIR-2.gif
LCLR,N,./images/LIR-0.gif
RCLR,1,./images/RIR-1.gif
RCLR,2,./images/RIR-2.gif
RCLR,N,./images/RIR-0.gif
BCLR,1,./images/BIR-1.gif
BCLR,2,./images/BIR-2.gif
BCLR,N,./images/BIR-0.gif
DOOR,O,./images/DOOR-2.gif
DOOR,C,./images/DOOR-1.gif
DOOR,N,./images/DOOR-0.gif
INDI,1,./images/IND-1.gif
INDI,2,./images/IND-2.gif
INDI,N,./images/IND-0.gif
BAT,E,./images/BAT-E.gif
BAT,F,./images/BAT-F.gif
BAT,M,./images/BAT-M.gif
CMB,M,./images/CMB-1.gif
CMB,H,./images/CMB-2.gif
CMB,N,./images/CMB-0.gif
CTRL,A,./images/AUTO.gif
CTRL,M,./images/MANU.gif
